#l b boxsize ext_law ejk ak error_ejk
4.8990 -3.8940 2 2 0.2695 0.1425 0.1036
4.8990 -3.9450 2 2 0.2722 0.1437 0.1018
4.8990 -3.9950 2 2 0.2750 0.1450 0.1009
4.8990 -4.0450 2 2 0.2588 0.1365 0.0996
4.8990 -4.0950 2 2 0.2522 0.1333 0.0991
4.8990 -4.1460 2 2 0.2075 0.1098 0.1035
4.8990 -4.1960 2 2 0.2130 0.1125 0.1027
4.8990 -4.2460 2 2 0.2203 0.1165 0.1024
4.8990 -4.2960 2 2 0.2177 0.1150 0.0984
4.8990 -4.3470 2 2 0.2180 0.1153 0.0978
4.8990 -4.3970 2 2 0.2165 0.1145 0.0963
4.8990 -4.4470 2 2 0.1945 0.1027 0.0992
4.8990 -4.4970 2 2 0.1913 0.1010 0.0997
4.8990 -4.5480 2 2 0.1748 0.0922 0.0982
4.8990 -4.5980 2 2 0.1828 0.0965 0.0994
4.8990 -4.6480 2 2 0.1858 0.0980 0.1000
4.8990 -4.6980 2 2 0.2130 0.1125 0.0999
4.8990 -4.7490 2 2 0.2140 0.1130 0.0933
4.8990 -4.7990 2 2 0.2140 0.1130 0.0987
4.8990 -4.8490 2 2 0.2140 0.1130 0.1012
4.8990 -4.8990 2 2 0.1880 0.0990 0.1000
4.8990 -4.9500 2 2 0.1850 0.0975 0.0981
4.8990 -5.0000 2 2 0.1820 0.0960 0.0960
4.7980 5.0000 2 2 0.3575 0.1890 0.1041
4.7980 4.9500 2 2 0.3427 0.1807 0.1035
4.7980 4.8990 2 2 0.3735 0.1973 0.1024
4.7980 4.8490 2 2 0.3708 0.1957 0.0954
4.7980 4.7990 2 2 0.3830 0.2022 0.1062
4.7980 4.7490 2 2 0.4128 0.2180 0.0983
4.7980 4.6980 2 2 0.3968 0.2095 0.0997
4.7980 4.6480 2 2 0.3870 0.2045 0.1070
4.7980 4.5980 2 2 0.3990 0.2107 0.1030
4.7980 4.5480 2 2 0.3985 0.2105 0.1083
4.7980 4.4970 2 2 0.4352 0.2297 0.1082
4.7980 4.4470 2 2 0.5275 0.2785 0.1118
4.7980 4.3970 2 2 0.4475 0.2362 0.1108
4.7980 4.3470 2 2 0.4538 0.2397 0.1072
4.7980 4.2960 2 2 0.4318 0.2283 0.1015
4.7980 4.2460 2 2 0.4310 0.2275 0.0912
4.7980 4.1960 2 2 0.4047 0.2135 0.0984
4.7980 4.1460 2 2 0.4113 0.2170 0.0941
4.7980 4.0950 2 2 0.3620 0.1912 0.1005
4.7980 4.0450 2 2 0.3758 0.1983 0.1064
4.7980 3.9950 2 2 0.4110 0.2170 0.1037
4.7980 3.9450 2 2 0.4188 0.2213 0.1045
4.7980 3.8940 2 2 0.3900 0.2057 0.1003
4.7980 3.8440 2 2 0.3985 0.2105 0.1001
4.7980 3.7940 2 2 0.4045 0.2135 0.0977
4.7980 3.7440 2 2 0.4498 0.2375 0.1033
4.7980 3.6930 2 2 0.4732 0.2497 0.1000
4.7980 3.6430 2 2 0.4875 0.2572 0.1020
4.7980 3.5930 2 2 0.4672 0.2467 0.0991
4.7980 3.5430 2 2 0.5510 0.2910 0.1041
4.7980 3.4920 2 2 0.6030 0.3185 0.1075
4.7980 3.4420 2 2 0.5782 0.3052 0.1038
4.7980 3.3920 2 2 0.5222 0.2758 0.1027
4.7980 3.3420 2 2 0.4985 0.2632 0.1065
4.7980 3.2910 2 2 0.4560 0.2407 0.1056
4.7980 3.2410 2 2 0.4285 0.2263 0.1028
4.7980 3.1910 2 2 0.4140 0.2185 0.1011
4.7980 3.1410 2 2 0.3855 0.2035 0.1113
4.7980 3.0900 2 2 0.3850 0.2035 0.1013
4.7980 3.0400 2 2 0.3910 0.2065 0.1046
4.7980 2.9900 2 2 0.4293 0.2270 0.1036
4.7980 2.9400 2 2 0.3785 0.2000 0.1027
4.7980 2.8890 2 2 0.3830 0.2022 0.1079
4.7980 2.8390 2 2 0.3870 0.2045 0.1015
4.7980 2.7890 2 2 0.4175 0.2205 0.0984
4.7980 2.7390 2 2 0.4230 0.2233 0.1013
4.7980 2.6880 2 2 0.4280 0.2258 0.1044
4.7980 2.6380 2 2 0.4153 0.2193 0.1070
4.7980 2.5880 2 2 0.4265 0.2253 0.1001
4.7980 2.5380 2 2 0.4447 0.2347 0.0988
4.7980 2.4870 2 2 0.4838 0.2552 0.1031
4.7980 2.4370 2 2 0.4912 0.2592 0.1040
4.7980 2.3870 2 2 0.5252 0.2775 0.1026
